product_id,stock_code,product_name,category,subcategory,brand,supplier,unit_cost,unit_price,uom,is_active
P0001,10001,NordMart Coffee 1,Beverages,Coffee,NordMart,MegaSupply,142.16,203.58,pcs,1
P0002,10002,Daily Coffee 2,Beverages,Coffee,Daily,Local Partner,117.29,184.12,pcs,1
P0003,10003,GreenFarm Coffee 3,Beverages,Coffee,GreenFarm,Volga Distribution,66.92,81.15,pcs,1
P0004,10004,Select Coffee 4,Beverages,Coffee,Select,RetailTrade LLC,177.93,281.49,pcs,1
P0005,10005,HappyDay Coffee 5,Beverages,Coffee,HappyDay,Local Partner,78.92,116.7,pcs,1
P0006,10006,FreshLine Coffee 6,Beverages,Coffee,FreshLine,Fresh Import,91.83,117.4,pcs,1
P0007,10007,Daily Coffee 7,Beverages,Coffee,Daily,Volga Distribution,125.28,157.91,pcs,1
P0008,10008,FreshLine Coffee 8,Beverages,Coffee,FreshLine,Volga Distribution,104.72,136.86,pcs,1
P0009,10009,Prime Tea 1,Beverages,Tea,Prime,Volga Distribution,158.0,244.07,pcs,1
P0010,10010,NordMart Tea 2,Beverages,Tea,NordMart,RetailTrade LLC,152.71,208.99,pcs,1
P0011,10011,HomePro Tea 3,Beverages,Tea,HomePro,Local Partner,167.84,242.79,pcs,1
P0012,10012,HomePro Tea 4,Beverages,Tea,HomePro,City Wholesale,131.76,179.98,pcs,1
P0013,10013,FreshLine Tea 5,Beverages,Tea,FreshLine,Fresh Import,77.08,99.89,pcs,1
P0014,10014,GreenFarm Tea 6,Beverages,Tea,GreenFarm,Local Partner,99.98,145.4,pcs,1
P0015,10015,HomePro Tea 7,Beverages,Tea,HomePro,City Wholesale,179.63,223.64,pcs,1
P0016,10016,Daily Tea 8,Beverages,Tea,Daily,North Foods,145.81,231.07,pcs,1
P0017,10017,FreshLine Juice 1,Beverages,Juice,FreshLine,RetailTrade LLC,150.89,207.99,pcs,1
P0018,10018,HappyDay Juice 2,Beverages,Juice,HappyDay,Fresh Import,93.43,153.99,pcs,1
P0019,10019,Vita Juice 3,Beverages,Juice,Vita,RetailTrade LLC,160.51,190.27,pcs,1
P0020,10020,Vita Juice 4,Beverages,Juice,Vita,Local Partner,145.12,223.66,pcs,1
P0021,10021,Daily Juice 5,Beverages,Juice,Daily,SupplyHub,81.09,101.71,pcs,1
P0022,10022,Select Juice 6,Beverages,Juice,Select,RetailTrade LLC,176.06,270.8,pcs,1
P0023,10023,Select Juice 7,Beverages,Juice,Select,Volga Distribution,157.83,223.9,pcs,1
P0024,10024,FreshLine Juice 8,Beverages,Juice,FreshLine,SupplyHub,92.35,115.98,pcs,1
P0025,10025,GreenFarm Water 1,Beverages,Water,GreenFarm,Local Partner,85.38,101.53,pcs,1
P0026,10026,Select Water 2,Beverages,Water,Select,RetailTrade LLC,73.52,95.08,pcs,1
P0027,10027,Daily Water 3,Beverages,Water,Daily,North Foods,142.47,222.76,pcs,1
P0028,10028,FreshLine Water 4,Beverages,Water,FreshLine,North Foods,132.37,215.1,pcs,1
P0029,10029,Select Water 5,Beverages,Water,Select,Volga Distribution,113.87,166.83,pcs,1
P0030,10030,Vita Water 6,Beverages,Water,Vita,Fresh Import,145.74,219.23,pcs,1
P0031,10031,HappyDay Water 7,Beverages,Water,HappyDay,City Wholesale,179.32,266.37,pcs,1
P0032,10032,Vita Water 8,Beverages,Water,Vita,RetailTrade LLC,103.21,133.81,pcs,1
P0033,10033,Prime Bread 1,Bakery,Bread,Prime,Volga Distribution,27.42,39.49,pcs,1
P0034,10034,NordMart Bread 2,Bakery,Bread,NordMart,Volga Distribution,33.16,48.96,pcs,1
P0035,10035,Daily Bread 3,Bakery,Bread,Daily,RetailTrade LLC,129.12,204.53,pcs,1
P0036,10036,Vita Bread 4,Bakery,Bread,Vita,Volga Distribution,52.37,78.26,pcs,1
P0037,10037,Vita Bread 5,Bakery,Bread,Vita,City Wholesale,40.22,65.14,pcs,1
P0038,10038,HomePro Bread 6,Bakery,Bread,HomePro,Volga Distribution,115.23,179.7,pcs,1
P0039,10039,Daily Bread 7,Bakery,Bread,Daily,MegaSupply,36.15,49.98,pcs,1
P0040,10040,HappyDay Cookies 1,Bakery,Cookies,HappyDay,RetailTrade LLC,78.71,119.85,pcs,1
P0041,10041,NordMart Cookies 2,Bakery,Cookies,NordMart,RetailTrade LLC,71.3,95.5,pcs,1
P0042,10042,HomePro Cookies 3,Bakery,Cookies,HomePro,North Foods,47.03,67.35,pcs,1
P0043,10043,HappyDay Cookies 4,Bakery,Cookies,HappyDay,RetailTrade LLC,46.1,64.42,pcs,1
P0044,10044,Classic Cookies 5,Bakery,Cookies,Classic,RetailTrade LLC,117.92,186.59,pcs,1
P0045,10045,NordMart Cookies 6,Bakery,Cookies,NordMart,SupplyHub,100.0,143.41,pcs,1
P0046,10046,Daily Cookies 7,Bakery,Cookies,Daily,North Foods,131.53,207.67,pcs,1
P0047,10047,HappyDay Pastry 1,Bakery,Pastry,HappyDay,MegaSupply,80.85,103.53,pcs,1
P0048,10048,NordMart Pastry 2,Bakery,Pastry,NordMart,MegaSupply,43.93,51.88,pcs,1
P0049,10049,Select Pastry 3,Bakery,Pastry,Select,Fresh Import,131.55,203.77,pcs,1
P0050,10050,HappyDay Pastry 4,Bakery,Pastry,HappyDay,City Wholesale,105.11,160.12,pcs,1
P0051,10051,FreshLine Pastry 5,Bakery,Pastry,FreshLine,SupplyHub,46.84,60.06,pcs,1
P0052,10052,GreenFarm Pastry 6,Bakery,Pastry,GreenFarm,Local Partner,109.61,132.48,pcs,1
P0053,10053,NordMart Pastry 7,Bakery,Pastry,NordMart,North Foods,30.77,43.2,pcs,1
P0054,10054,NordMart Cakes 1,Bakery,Cakes,NordMart,North Foods,135.49,164.98,pcs,1
P0055,10055,Daily Cakes 2,Bakery,Cakes,Daily,Volga Distribution,93.43,139.9,pcs,1
P0056,10056,HappyDay Cakes 3,Bakery,Cakes,HappyDay,Volga Distribution,38.79,62.0,pcs,1
P0057,10057,GreenFarm Cakes 4,Bakery,Cakes,GreenFarm,MegaSupply,93.37,137.36,pcs,1
P0058,10058,GreenFarm Cakes 5,Bakery,Cakes,GreenFarm,Fresh Import,90.0,119.58,pcs,1
P0059,10059,HomePro Cakes 6,Bakery,Cakes,HomePro,Fresh Import,102.02,135.45,pcs,1
P0060,10060,HappyDay Cakes 7,Bakery,Cakes,HappyDay,City Wholesale,40.05,59.41,pcs,1
P0061,10061,Prime Milk 1,Dairy,Milk,Prime,SupplyHub,206.87,335.09,pcs,1
P0062,10062,Classic Milk 2,Dairy,Milk,Classic,RetailTrade LLC,149.91,216.56,pcs,1
P0063,10063,Daily Milk 3,Dairy,Milk,Daily,North Foods,134.46,190.63,pcs,1
P0064,10064,Prime Milk 4,Dairy,Milk,Prime,Local Partner,197.96,315.4,pcs,1
P0065,10065,Select Milk 5,Dairy,Milk,Select,Fresh Import,64.18,100.88,pcs,1
P0066,10066,GreenFarm Milk 6,Dairy,Milk,GreenFarm,SupplyHub,217.01,338.39,pcs,1
P0067,10067,Vita Milk 7,Dairy,Milk,Vita,North Foods,90.39,134.84,pcs,1
P0068,10068,Select Cheese 1,Dairy,Cheese,Select,North Foods,56.35,69.33,pcs,1
P0069,10069,Select Cheese 2,Dairy,Cheese,Select,Local Partner,87.12,111.43,pcs,1
P0070,10070,HomePro Cheese 3,Dairy,Cheese,HomePro,City Wholesale,162.19,256.4,pcs,1
P0071,10071,Select Cheese 4,Dairy,Cheese,Select,RetailTrade LLC,202.49,319.46,pcs,1
P0072,10072,HappyDay Cheese 5,Dairy,Cheese,HappyDay,Local Partner,188.43,226.25,pcs,1
P0073,10073,FreshLine Cheese 6,Dairy,Cheese,FreshLine,City Wholesale,152.87,199.21,pcs,1
P0074,10074,Vita Cheese 7,Dairy,Cheese,Vita,RetailTrade LLC,165.55,238.99,pcs,1
P0075,10075,Daily Yogurt 1,Dairy,Yogurt,Daily,North Foods,209.83,315.75,pcs,1
P0076,10076,Vita Yogurt 2,Dairy,Yogurt,Vita,North Foods,41.67,56.4,pcs,1
P0077,10077,HappyDay Yogurt 3,Dairy,Yogurt,HappyDay,SupplyHub,58.58,77.61,pcs,1
P0078,10078,Prime Yogurt 4,Dairy,Yogurt,Prime,RetailTrade LLC,73.86,95.82,pcs,1
P0079,10079,Prime Yogurt 5,Dairy,Yogurt,Prime,MegaSupply,179.32,286.11,pcs,1
P0080,10080,GreenFarm Yogurt 6,Dairy,Yogurt,GreenFarm,Volga Distribution,173.65,280.46,pcs,1
P0081,10081,FreshLine Yogurt 7,Dairy,Yogurt,FreshLine,MegaSupply,215.6,336.57,pcs,1
P0082,10082,NordMart Butter 1,Dairy,Butter,NordMart,MegaSupply,68.18,110.08,pcs,1
P0083,10083,HomePro Butter 2,Dairy,Butter,HomePro,RetailTrade LLC,84.36,130.76,pcs,1
P0084,10084,HappyDay Butter 3,Dairy,Butter,HappyDay,Volga Distribution,196.35,310.93,pcs,1
P0085,10085,HomePro Butter 4,Dairy,Butter,HomePro,Fresh Import,186.07,259.82,pcs,1
P0086,10086,HomePro Butter 5,Dairy,Butter,HomePro,MegaSupply,76.24,113.61,pcs,1
P0087,10087,Prime Butter 6,Dairy,Butter,Prime,Fresh Import,86.54,104.94,pcs,1
P0088,10088,Prime Butter 7,Dairy,Butter,Prime,Local Partner,153.67,210.2,pcs,1
P0089,10089,NordMart Chips 1,Snacks,Chips,NordMart,North Foods,36.15,59.14,pcs,1
P0090,10090,GreenFarm Chips 2,Snacks,Chips,GreenFarm,RetailTrade LLC,154.75,201.91,pcs,1
P0091,10091,GreenFarm Chips 3,Snacks,Chips,GreenFarm,Local Partner,80.84,123.07,pcs,1
P0092,10092,HappyDay Chips 4,Snacks,Chips,HappyDay,MegaSupply,104.87,148.95,pcs,1
P0093,10093,GreenFarm Chips 5,Snacks,Chips,GreenFarm,MegaSupply,46.61,55.97,pcs,1
P0094,10094,NordMart Chips 6,Snacks,Chips,NordMart,Volga Distribution,92.79,144.67,pcs,1
P0095,10095,Prime Chips 7,Snacks,Chips,Prime,Local Partner,80.38,130.7,pcs,1
P0096,10096,GreenFarm Chips 8,Snacks,Chips,GreenFarm,Fresh Import,63.95,100.95,pcs,1
P0097,10097,Vita Nuts 1,Snacks,Nuts,Vita,MegaSupply,63.3,86.84,pcs,1
