inventory_date,store_id,product_id,stock_qty,stock_value,reorder_point,days_of_cover,stock_status
2024-01-31,S001,P0001,0,0.0,1,0.0,Low
2024-01-31,S001,P0002,7,821.03,2,37.1,Normal
2024-01-31,S001,P0003,4,267.68,2,27.6,Normal
2024-01-31,S001,P0004,0,0.0,1,0.0,Low
2024-01-31,S001,P0005,1,78.92,1,10.0,Low
2024-01-31,S001,P0006,0,0.0,1,0.0,Low
2024-01-31,S001,P0007,3,375.84,1,30.0,Normal
2024-01-31,S001,P0008,5,523.6,3,21.8,Normal
2024-01-31,S001,P0009,6,948.0,1,48.8,Overstock
2024-01-31,S001,P0010,4,610.84,1,31.8,Normal
2024-01-31,S001,P0011,4,671.36,1,40.0,Normal
2024-01-31,S001,P0012,8,1054.08,2,47.2,Normal
2024-01-31,S001,P0013,8,616.64,1,65.1,Overstock
2024-01-31,S001,P0014,0,0.0,1,0.0,Low
2024-01-31,S001,P0015,0,0.0,1,0.0,Low
2024-01-31,S001,P0016,4,583.24,1,39.6,Normal
2024-01-31,S001,P0017,4,603.56,1,31.8,Normal
2024-01-31,S001,P0018,0,0.0,1,0.0,Low
2024-01-31,S001,P0019,4,642.04,1,40.0,Normal
2024-01-31,S001,P0020,2,290.24,2,14.6,Low
2024-01-31,S001,P0021,1,81.09,2,7.0,Low
2024-01-31,S001,P0022,3,528.18,1,30.0,Normal
2024-01-31,S001,P0023,0,0.0,2,0.0,Low
2024-01-31,S001,P0024,3,277.05,1,25.0,Normal
2024-01-31,S001,P0025,0,0.0,1,0.0,Low
2024-01-31,S001,P0026,5,367.6,2,36.6,Normal
2024-01-31,S001,P0027,4,569.88,2,28.2,Normal
2024-01-31,S001,P0028,5,661.85,2,23.8,Normal
2024-01-31,S001,P0029,3,341.61,2,21.1,Normal
2024-01-31,S001,P0030,1,145.74,1,10.0,Low
2024-01-31,S001,P0031,3,537.96,1,30.0,Normal
2024-01-31,S001,P0032,2,206.42,1,18.8,Normal
2024-01-31,S001,P0033,1,27.42,1,10.0,Low
2024-01-31,S001,P0034,5,165.8,1,40.7,Overstock
2024-01-31,S001,P0035,1,129.12,1,5.7,Low
2024-01-31,S001,P0036,0,0.0,1,0.0,Low
2024-01-31,S001,P0037,2,80.44,1,20.0,Normal
2024-01-31,S001,P0038,0,0.0,1,0.0,Low
2024-01-31,S001,P0039,0,0.0,1,0.0,Low
2024-01-31,S001,P0040,4,314.84,1,40.0,Normal
2024-01-31,S001,P0041,0,0.0,1,0.0,Low
2024-01-31,S001,P0042,3,141.09,1,29.7,Normal
2024-01-31,S001,P0043,0,0.0,1,0.0,Low
2024-01-31,S001,P0044,0,0.0,1,0.0,Low
2024-01-31,S001,P0045,1,100.0,1,8.5,Low
2024-01-31,S001,P0046,0,0.0,1,0.0,Low
2024-01-31,S001,P0047,1,80.85,1,6.3,Low
2024-01-31,S001,P0048,1,43.93,1,9.2,Low
2024-01-31,S001,P0049,4,526.2,1,28.7,Normal
2024-01-31,S001,P0050,1,105.11,1,10.0,Low
2024-01-31,S001,P0051,0,0.0,1,0.0,Low
2024-01-31,S001,P0052,2,219.22,1,14.1,Normal
2024-01-31,S001,P0053,3,92.31,1,14.6,Normal
2024-01-31,S001,P0054,0,0.0,1,0.0,Low
2024-01-31,S001,P0055,3,280.29,1,30.0,Normal
2024-01-31,S001,P0056,0,0.0,1,0.0,Low
2024-01-31,S001,P0057,2,186.74,1,17.0,Normal
2024-01-31,S001,P0058,1,90.0,1,10.0,Low
2024-01-31,S001,P0059,5,510.1,1,50.0,Overstock
2024-01-31,S001,P0060,1,40.05,1,8.3,Low
2024-01-31,S001,P0061,2,413.74,1,14.6,Normal
2024-01-31,S001,P0062,0,0.0,1,0.0,Low
2024-01-31,S001,P0063,0,0.0,1,0.0,Low
2024-01-31,S001,P0064,2,395.92,1,16.6,Normal
2024-01-31,S001,P0065,0,0.0,1,0.0,Low
2024-01-31,S001,P0066,3,651.03,1,27.4,Normal
2024-01-31,S001,P0067,0,0.0,1,0.0,Low
2024-01-31,S001,P0068,3,169.05,1,20.7,Normal
2024-01-31,S001,P0069,0,0.0,1,0.0,Low
2024-01-31,S001,P0070,0,0.0,1,0.0,Low
2024-01-31,S001,P0071,0,0.0,1,0.0,Low
2024-01-31,S001,P0072,5,942.15,1,48.2,Overstock
2024-01-31,S001,P0073,0,0.0,1,0.0,Low
2024-01-31,S001,P0074,5,827.75,1,41.6,Overstock
2024-01-31,S001,P0075,3,629.49,1,27.4,Normal
2024-01-31,S001,P0076,0,0.0,1,0.0,Low
2024-01-31,S001,P0077,1,58.58,1,8.9,Low
